6885;21930;16065;6630;17085;8670;7650;80070;113475;1020;174550;155950;1
9180;21675;16065;8160;17085;11475;16065;87975;121635;5610;174550;152850;1
11985;19635;16320;6630;18360;13515;20655;90780;123930;9435;170315;149235;1
11730;22185;15045;8415;16830;11985;20910;88485;123165;10200;170315;149855;1
16320;19890;20400;10965;12495;17595;39780;93075;129285;20145;151205;136325;1
8925;26775;17595;9180;16320;7905;14790;76245;110415;7140;167525;144275;1
16320;21675;25755;10200;13260;20400;42330;99705;135150;20145;153685;140355;1
17595;24480;21675;11475;11730;15810;41055;99195;133875;18870;154460;141440;1
19380;19890;23460;11475;12240;16575;42075;99195;133365;19125;153995;141595;1
16065;22185;22185;11220;13515;18360;41820;97665;133110;18360;154150;140975;1
11730;20145;20145;6120;18615;10710;20400;85935;121125;10710;167680;146910;1
7905;23205;16320;4080;16830;8415;7140;84150;118320;1020;181575;161115;1
7905;22695;17595;4080;18360;7905;7650;84405;117555;1530;180490;160960;1
11220;24735;14280;4590;17085;9945;13260;88230;123930;2550;178580;157190;1
7650;23205;14535;4335;17085;7140;8160;82875;118065;1530;181730;160805;1
7905;22185;13770;4080;18360;7140;7905;83385;117810;1530;181730;161270;1
6885;25245;14535;4080;18360;9435;6885;79050;113730;1275;177185;157655;1
6885;25245;14280;4335;15555;8160;7395;79815;113730;1530;176875;157500;1
10710;22950;16575;3570;16575;8160;7905;87465;122145;765;181990;163080;1
0;23715;17085;0;15300;11730;0;61455;105315;0;27285;189215;1
7650;22695;20145;7905;15810;6375;8925;73950;108120;3825;168920;150630;1
8415;21165;19635;2550;16830;5610;2805;82875;116790;0;182350;165300;1
7650;20400;21930;5355;15810;8160;9435;78795;111945;4845;170315;154040;1
9690;22695;23205;4080;15810;8415;6375;81600;113475;2295;175945;158585;1
13515;24225;22950;6630;11730;13005;18360;84915;119595;13005;163290;148100;1
8670;22950;22950;7905;11475;12750;13260;74715;109140;9180;162515;145930;1
19890;21930;24480;11985;16575;15300;41055;97920;129540;18615;151360;140200;1
9945;20400;16575;7395;19890;7140;14280;84660;117555;5355;173000;156260;1
8670;20400;14025;7395;17850;8160;18105;90525;123420;6375;174395;154865;1
8415;21675;12495;6630;20400;9180;11985;82365;116280;2295;175170;154245;1
7905;19125;13770;7140;18360;11475;13005;85425;119595;2295;178785;160030;1
