2040;48705;97410;255;47685;48960
5865;48705;125970;0;47685;52275
5865;45645;94860;0;44625;44625
7905;48705;125460;0;47685;51000
7650;48705;96390;1020;47685;49470
6630;48705;97155;5865;47685;48705
510;47685;122145;0;46665;50490
5865;45645;107865;0;44625;47940
9690;48705;97665;1275;47685;47175
9690;48705;97665;510;47685;46665
5865;48705;96645;510;47685;48450
10455;48705;123420;0;47685;48960
10455;48705;123675;0;47685;49215
10455;48705;123420;0;47685;48960
5865;48705;125205;0;47685;51510
5865;46665;100215;0;45645;46155
5865;48705;121635;0;47685;51765
5865;48705;122145;0;47685;50745
765;48705;125715;0;47685;51510
5865;48705;127245;0;47685;51510
8670;48705;123675;0;47685;49215
8415;48705;123420;0;47685;49470
8160;48705;123420;0;47685;49215
8160;48705;123930;0;47685;49470
7650;48705;124440;0;47685;49725
7905;48705;124440;0;47685;49980
7650;48705;124695;0;47685;49470
5865;48705;125970;0;47685;51765
5865;48705;127755;0;47685;52020
765;48705;95115;0;47685;50235
5865;48705;123930;0;47685;53040
5865;48705;124440;0;47685;53295
5865;48705;124185;0;47685;52530
10710;48705;126480;0;47685;50745
5865;48705;124440;0;47685;53295
5865;46665;106845;0;45645;46410
510;47685;114495;0;46665;48705
255;48705;124950;0;47685;49215
5865;47685;117555;0;46665;52530
5865;48705;124185;0;47685;49215
8160;45645;99195;0;44625;49470
7905;44625;94860;0;43605;47430
510;48705;91545;0;47685;53295
7395;48705;124440;0;47685;49725
5865;48705;124950;0;47685;51255
6885;48705;123675;0;47685;49215
5865;48705;125205;0;47685;51510
5865;48705;123930;0;47685;49980
5865;48705;124185;0;47685;49980
1785;48705;125460;0;47685;54060
510;48705;125460;0;47685;54315
5865;48705;124440;0;47685;47685
3825;48705;126225;0;47685;54060
510;48705;125970;0;47685;53550
5355;48705;123675;0;47685;54315
5100;48705;123930;0;47685;54570
5865;48705;124695;0;47685;49470
5865;48705;125460;0;47685;48705
0;47685;111945;0;46665;51765
2550;48705;123930;0;47685;54060
510;48705;123675;0;47685;54060
5865;48705;121635;0;47685;49215
2550;48705;124185;0;47685;54315
2550;48705;123420;0;47685;53805
2550;48705;123420;0;47685;53550
2805;48705;123675;0;47685;53295
4335;48705;125460;0;47685;54060
5865;48705;124695;0;47685;48705
255;48705;124185;0;47685;48960
1530;48705;126225;0;47685;54315
1020;48705;124695;0;47685;54570
3060;48705;125205;0;47685;54315
5865;47685;111435;0;46665;49725
5865;47685;111435;0;46665;49725
5865;47685;111945;0;46665;49980
5865;47685;112200;0;46665;49980
5865;47685;111690;0;46665;50235
0;46665;109140;0;45645;50235
0;46665;109140;0;45645;49470
0;46665;108885;0;45645;50235
5865;47685;111945;0;46665;50235
0;45645;100470;0;44625;47430
255;47685;111945;0;46665;49725
255;46665;108885;0;45645;49470
255;46665;106845;0;45645;49470
1020;48705;124185;0;47685;53295
0;46665;107100;0;45645;49470
5865;47685;111945;0;46665;49215
510;48705;124695;0;47685;52785
5865;46665;88485;0;45645;42840
510;48705;125970;0;47685;53040
0;47685;108885;0;46665;49470
5865;46665;89505;0;45645;42840
5865;46665;89760;0;45645;42585
5865;47685;107100;0;46665;46920
5865;48705;117045;0;47685;46920
5865;48705;117300;0;47685;46920
5865;48705;117555;0;47685;46920
5865;48705;117300;0;47685;46920
3060;48705;120870;0;47685;51255
