6630;11985;6630;20910;1020;22185;1
6630;12495;6630;25500;1020;21675;1
6630;12240;6630;26520;1020;21930;1
6630;9180;6120;24225;5100;21420;1
6630;8925;6120;23970;5100;21675;1
6630;12495;6630;21165;1020;21930;1
6630;8925;6120;18615;1785;22185;1
6630;12750;6630;21165;1020;22695;1
6630;9180;6120;24480;1020;22185;1
6630;8670;6120;19125;1785;22440;1
6630;9690;6630;25755;1275;15810;1
6630;9435;6120;19125;0;19890;1
3315;8925;6630;20910;1275;16065;1
3315;11985;6630;20910;4590;23715;1
3315;11985;6630;19380;3060;21420;1
3315;11985;6630;20400;1020;19890;1
3315;12240;6120;19125;4590;23460;1
3315;11985;6120;19125;4590;20910;1
6630;11475;6120;23460;765;20145;1
6630;12750;6120;23205;765;21930;1
3315;12495;6120;22950;3315;23460;1
3315;11730;6120;23205;3315;23205;1
6630;12495;6630;25500;4845;21165;1
3315;11985;6120;19380;3315;22950;1
3315;12495;6630;29835;3315;22950;1
3315;12240;6120;23715;3315;22440;1
3315;13005;6120;24225;3315;21930;1
3315;11985;6630;29580;3315;22185;1
3315;12240;6630;26775;3315;23205;1
3315;11985;6120;19380;4590;22440;1
3315;12240;6630;25500;4080;21930;1
3315;15810;6630;24225;3060;20145;1
3315;11730;3315;23205;3060;20910;1
3315;12240;6630;29580;3315;23205;1
3315;16575;6120;23715;3315;21930;1
3315;12750;6120;23970;4590;22440;1
3315;15810;6630;26520;4845;21420;1
3315;13260;6120;23715;4335;22695;1
3315;8925;6120;24225;3060;20145;1
3315;8925;6120;20145;3315;18870;1
6630;13770;6630;26010;1020;21675;1
6630;10455;6120;22440;5100;20145;1
7140;13260;7140;20910;3570;21165;1
6630;9180;3315;24990;4845;18105;1
6630;8925;6120;23205;1275;16320;1
6630;9180;3315;19890;4590;18615;1
6630;9180;3315;25245;4590;18615;1
6630;9435;3315;25755;5100;18615;1
6630;9690;3315;20400;3315;18615;1
6630;9945;3315;26520;5100;18360;1
6630;9435;3315;25500;4080;18105;1
6885;9180;6630;26265;5355;18870;1
6885;9180;3315;25500;4335;18360;1
6885;8925;3315;25755;6375;18360;1
6885;9435;3315;20400;4590;17850;1
6885;9180;6630;26265;6885;18615;1
6630;9435;6630;25755;3570;18615;1
6630;9180;6120;22950;3570;15555;1
6630;8925;6120;23715;3570;15300;1
6630;8925;3315;20145;8925;18105;1
6630;8415;6120;23970;2805;14535;1
6630;8415;6630;21165;1530;13005;1
6630;8925;6120;18870;1275;17085;1
6630;9690;6120;23460;1275;15045;1
6630;9435;6630;20655;2550;14535;1
6630;8925;6120;19125;4845;14535;1
6630;8925;6120;19890;1275;16830;1
3315;8925;6630;23715;4335;16575;1
3315;15555;6630;25245;4845;20145;1
6630;8670;6630;25500;1530;15300;1
3315;12750;6120;19890;4590;21675;1
3315;11985;6120;23460;4590;21675;1
3315;11730;6630;26520;4845;19890;1
3315;12495;6120;24990;4590;21675;1
3315;9690;6120;24225;4590;21675;1
3315;11985;6120;24225;4590;21165;1
3315;12240;6120;23970;4590;20910;1
3315;11985;6120;24990;4590;20910;1
3315;12240;6120;23970;4590;20400;1
3315;11985;6120;19890;4590;22440;1
3315;12495;6120;24225;4845;21675;1
3315;12750;6120;24225;4590;21930;1
3315;10455;6120;23460;4590;22185;1
3315;9690;6120;24225;4080;21420;1
3315;9690;6120;23970;4845;21675;1
3315;13005;6120;23970;4845;21165;1
6630;8925;6120;23970;4590;21165;1
6630;9180;6120;24735;4845;21165;1
3315;9435;6120;24225;4590;22185;1
6630;9435;6120;24225;4590;21420;1
3315;9435;6120;25500;5100;20910;1
6630;9690;6120;23715;4845;20655;1
6630;9180;6120;23970;4845;19890;1
6630;9945;6120;23715;4590;20400;1
6630;9180;6120;23205;4590;20400;1
6630;9435;6120;18870;4845;21165;1
3315;8925;6120;20145;5100;20910;1
3315;9690;6120;19635;4590;20400;1
6630;9180;6120;24480;4590;21675;1
6630;12750;6630;26010;1020;22440;1
